,BMI,age,birthday,city,married,name
0,16.87,14,1983-12-13,West Luciano,yes,Caden Ullrich
1,15.77,22,1997-01-11,Catalinamouth,no,Roel Cummerata
2,29.81,26,1985-05-03,East Aliya,no,Granville Robel
3,22.94,36,2001-02-07,Lake Jocelynstad,no,Julio Harris
4,21.5,40,2006-04-09,West Josephineside,no,Kitty Bauch IV
5,21.29,17,2003-09-30,Lake Santastad,yes,Florida Tillman
6,29.54,19,1999-06-12,Mullerbury,no,Napoleon Block Sr.
7,24.29,39,1982-01-13,North Daron,no,Miss Hannah Kling III
8,17.81,45,1990-01-30,Port Jessyca,no,Dr. Michael Kertzmann
9,26.94,23,1975-07-11,North Abelside,no,Madelynn Casper
10,29.29,25,1971-07-16,New Irving,yes,Carmel Mueller
11,18.53,20,2012-12-28,Lehnermouth,no,Katheryn Wisozk
12,22.37,50,2009-07-07,Kaceytown,yes,Magnolia Koepp
13,21.49,35,1997-05-13,Odellborough,no,Miss Aisha Fisher
14,23.73,48,1980-07-27,South Eloybury,no,Ms. Jayde Zulauf
15,16.06,30,1975-10-10,West Augustafurt,yes,Mrs. Catherine Nolan II
16,22.59,34,1980-08-26,Kovacektown,yes,Arlie Hahn
17,18.05,17,1983-12-29,Hackettview,no,Bridget Hackett
18,16.6,24,2008-08-27,New Tadchester,no,Miss Enola Watsica IV
19,16.35,40,2011-01-12,Verdastad,yes,Dejon Powlowski
20,23.4,34,1993-07-25,Augustinefurt,yes,Oleta Jones PhD
21,15.81,42,1990-08-22,Jastmouth,no,Dr. Dejuan O'Reilly
22,27.58,19,1992-05-08,New Kaylahburgh,no,Edd Yost
23,21.77,42,2001-06-02,Bergstromview,no,Dr. Jermey Rath
24,27.16,41,1970-02-03,West Maryammouth,yes,Mr. Eleanore Bechtelar
25,27.99,12,1998-10-01,Port Parkermouth,yes,Chaz Barton
26,27.86,32,1996-08-22,North Ambrose,yes,Mrs. Alexandrea Cronin
27,17.64,16,2004-06-21,Port David,yes,Loyce Roob
28,17.13,12,1991-01-10,Toyhaven,yes,Raphaelle Grant
29,25.29,42,1997-04-24,Port Mittie,yes,Katharina O'Hara Sr.
30,18.0,17,1992-11-07,Felixburgh,no,Allen Roob
31,19.22,49,1973-01-28,West Nyasiaborough,no,Dorian Torp
32,28.47,49,1970-12-09,East Lennytown,no,Celia Cartwright DVM
33,15.75,50,1984-03-24,Gerlachstad,no,Lionel Hills
34,22.19,43,1992-02-08,Lavernport,no,Christine Barrows
35,28.41,46,1972-10-26,New Aileenport,no,Elton Hammes
36,21.87,34,2003-07-06,Eichmannton,no,Rubie Koch
